street,housenumber,place,lat,lon
Strada Nuova dei Bagni ,"5",,45.347872,12.321924
Via Agostino Barbarigo ,"3",,45.409121,12.366718
Via Agostino Barbarigo ,"10",,45.408665,12.367217
Via Agostino Barbarigo ,"4",,45.409172,12.366641
Via Agostino Barbarigo ,"2",,45.409403,12.366262
Via Agostino Barbarigo ,6a,,45.408954,12.366652
Via Agostino Barbarigo ,6b,,45.408878,12.366723
Via Agostino Barbarigo ,"7",,45.4087,12.367288
Via Agostino Barbarigo ,"6",,45.409064,12.366635
Via Agostino Barbarigo ,"8",,45.408778,12.366954
Via Agostino Barbarigo ,"1",,45.409303,12.366686
Via Agostino Barbarigo ,1a,,45.409426,12.36641
Via Agostino Barbarigo ,"5",,45.408818,12.367011
Via Sandro Gallo ,"169",,45.399095,12.359954
Via Giovanni Pividor ,"9",,45.388515,12.352344
Via Giovanni Pividor ,"16",,45.38856,12.352082
Via Giovanni Pividor ,"14",,45.38856,12.352082
Via Giovanni Pividor ,"12",,45.38856,12.352082
Via Giovanni Pividor ,10c,,45.388576,12.352044
Via Giovanni Pividor ,10d,,45.388576,12.352044
Via Giovanni Pividor ,10b,,45.388576,12.352044
Via Giovanni Pividor ,"18",,45.388558,12.352087
Via Giovanni Pividor ,"16",,45.388558,12.352087
Via Giovanni Pividor ,"14",,45.388558,12.352087
Via Giovanni Pividor ,"12",,45.388558,12.352087
Via Giovanni Pividor ,8b,,45.388586,12.352022
Via Giovanni Pividor ,8d,,45.388586,12.352022
Via Giovanni Pividor ,8c,,45.388586,12.352022
Via Giovanni Pividor ,10a,,45.38858,12.352035
Via Giovanni Pividor ,"10",,45.38858,12.352035
Via Giovanni Pividor ,8e,,45.388584,12.352026
Via Giovanni Pividor ,8d,,45.388584,12.352026
Via Giovanni Pividor ,8c,,45.388584,12.352026
Via Giovanni Pividor ,"13",,45.38842,12.35259
Via Giovanni Pividor ,10f,,45.38857,12.352059
Via Giovanni Pividor ,10g,,45.38857,12.352059
Via Giovanni Pividor ,"15",,45.388392,12.352669
Via Giovanni Pividor ,"18",,45.388557,12.35209
Via Giovanni Pividor ,"16",,45.388557,12.35209
Via Giovanni Pividor ,10a,,45.388579,12.352038
Via Giovanni Pividor ,10b,,45.388579,12.352038
Via Giovanni Pividor ,"10",,45.388579,12.352038
Via Giovanni Pividor ,10d,,45.388574,12.352051
Via Giovanni Pividor ,10f,,45.388574,12.352051
Via Giovanni Pividor ,10e,,45.388574,12.352051
Via Giovanni Pividor ,"16",,45.388559,12.352084
Via Giovanni Pividor ,"14",,45.388559,12.352084
Via Giovanni Pividor ,"12",,45.388559,12.352084
Via Giovanni Pividor ,8e,,45.388583,12.352029
Via Giovanni Pividor ,8d,,45.388583,12.352029
Via Giovanni Pividor ,8b,,45.38859,12.352014
Via Giovanni Pividor ,8a,,45.38859,12.352014
Via Giovanni Pividor ,"8",,45.38859,12.352014
Via Giovanni Pividor ,"5",,45.388561,12.352226
Via Giovanni Pividor ,8b,,45.388588,12.352018
Via Giovanni Pividor ,8a,,45.388588,12.352018
Via Giovanni Pividor ,8c,,45.388588,12.352018
Via Giovanni Pividor ,10c,,45.388575,12.352047
Via Giovanni Pividor ,10d,,45.388575,12.352047
Via Giovanni Pividor ,10e,,45.388575,12.352047
Via Giovanni Pividor ,8a,,45.388591,12.352011
Via Giovanni Pividor ,"8",,45.388591,12.352011
Via Giovanni Pividor ,"20",,45.388534,12.352141
Via Giovanni Pividor ,"4",,45.388739,12.351723
Via Giovanni Pividor ,10c,,45.388578,12.352042
Via Giovanni Pividor ,10a,,45.388578,12.352042
Via Giovanni Pividor ,10b,,45.388578,12.352042
Via Giovanni Pividor ,"1",,45.388644,12.352041
Via Giovanni Pividor ,"3",,45.388576,12.352188
Via Giovanni Pividor ,10f,,45.388572,12.352054
Via Giovanni Pividor ,10e,,45.388572,12.352054
Via Giovanni Pividor ,10g,,45.388572,12.352054
Via Giovanni Pividor ,"7",,45.388537,12.352287
Via Antonio Loredan ,"9",,45.417427,12.374256
Via Antonio Loredan ,2b,,45.418164,12.3728
Via Antonio Loredan ,"10",,45.417221,12.37463
Via Antonio Loredan ,"3",,45.41813,12.372869
Via Antonio Loredan ,2a,,45.418283,12.372573
Via Antonio Loredan ,"6",,45.41763,12.373861
Via Antonio Loredan ,"2",,45.418227,12.372681
Via Antonio Loredan ,"15",,45.416892,12.375298
Via Antonio Loredan ,"7",,45.417595,12.373929
Via Antonio Loredan ,"5",,45.417774,12.373572
Via Antonio Loredan ,6a,,45.417676,12.373772
Via Antonio Loredan ,12a,,45.417068,12.374949
Via Antonio Loredan ,"8",,45.417509,12.374094
Via Antonio Loredan ,"14",,45.416988,12.375106
Via Paolo Paruta ,"6",,45.403013,12.361676
Via Paolo Paruta ,"12",,45.403156,12.361279
Via Paolo Paruta ,"7",,45.40309,12.361177
Via Paolo Paruta ,"15",,45.403342,12.360764
Via Paolo Paruta ,"14",,45.403269,12.361345
Via Paolo Paruta ,9a,,45.403157,12.360997
Via Paolo Paruta ,"11",,45.403215,12.360844
Via Paolo Paruta ,"4",,45.402983,12.361759
Via Paolo Paruta ,"18",,45.403343,12.360832
Via Paolo Paruta ,"16",,45.403184,12.361093
Via Paolo Paruta ,"5",,45.403079,12.361206
Via Paolo Paruta ,"2",,45.402952,12.361844
Via Paolo Paruta ,"8",,45.403039,12.361603
Via Paolo Paruta ,"20",,45.403435,12.360899
Via Paolo Paruta ,"1",,45.402934,12.36151
Via Paolo Paruta ,"9",,45.403116,12.361106
Via Jacopo Fontana ,"46",,45.38504,12.349122
Via Jacopo Fontana ,"44",,45.385083,12.349157
Via Jacopo Fontana ,"48",,45.384979,12.349072
Via Jacopo Fontana ,"4",,45.385455,12.348684
Via Jacopo Fontana ,"30",,45.385269,12.349146
Via Jacopo Fontana ,"8",,45.385302,12.348559
Via Jacopo Fontana ,"16",,45.384957,12.348907
Via Jacopo Fontana ,"92",,45.384609,12.349933
Via Jacopo Fontana ,"98",,45.384772,12.350068
Via Jacopo Fontana ,"14",,45.385158,12.348438
Via Jacopo Fontana ,"106",,45.384998,12.350286
Via Jacopo Fontana ,"90",,45.384561,12.349893
Via Jacopo Fontana ,"42",,45.38514,12.349204
Via Jacopo Fontana ,"76",,45.384988,12.349758
Via Jacopo Fontana ,"32",,45.385237,12.349168
